Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.5128,0.3426,88.68
2,0.2573,0.3078,89.5
3,0.2022,0.3275,88.78
4,0.1762,0.2022,93.22
5,0.1524,0.2228,92.24
6,0.1332,0.2346,91.42
7,0.1249,0.2109,92.96
8,0.1104,0.2445,92.56
9,0.0974,0.2319,92.06
