Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.5083,0.3299,88.52
2,0.2234,0.3309,89.2
3,0.151,0.3192,89.88
4,0.1167,0.2596,91.68
5,0.091,0.2849,90.8
6,0.0817,0.2958,90.54
7,0.0617,0.3192,89.88
8,0.0501,0.2958,90.54
9,0.0459,0.3279,88.52
